tweet,date,comments,shares,likes,views,language
"Yes, it is.",2024-05-22T14:47:11.000Z,,,,704.0,en
Bingo,2024-05-22T19:57:54.000Z,,,1.0,458.0,en
FACTS  ,2024-05-22T16:44:17.000Z,,,1.0,433.0,en
A worthy purpose derailed by fanatics.,2024-05-22T23:41:33.000Z,,1.0,2.0,244.0,en
Just another Grift on the Public! Climate Scam.,2024-05-22T09:29:56.000Z,,,,177.0,en
Don’t look up.,2024-05-22T09:49:10.000Z,,,,1000.0,en
History is written by the victor. If it’s all pans out. It won’t matter. There will be no ‘history’.,2024-05-22T08:13:43.000Z,,1.0,5.0,2000.0,en
interesting,2024-05-23T13:47:31.000Z,,,,118.0,en
Truth,2024-05-22T14:09:11.000Z,,,2.0,647.0,en
Do tell.,2024-05-22T15:18:54.000Z,,,,521.0,en
What about the whales Being killed by wind farms in the ocean? I remember when Greenpeace cared about the whales!,2024-05-23T15:31:13.000Z,,,1.0,132.0,en
,2024-05-22T08:15:54.000Z,,,2.0,1000.0,en
,2024-05-23T10:48:28.000Z,,,,93.0,en
Exactly,2024-05-22T12:52:41.000Z,,,1.0,493.0,en
Of course.,2024-05-22T13:56:16.000Z,,,1.0,290.0,en
Not if they win.,2024-05-22T11:49:37.000Z,,,1.0,441.0,en
"It appears the Sun is the main driver of temperature. CO2 on Mars 950,000ppm Average Temperature -53 C annual solar irradiance 590 W/m2 CO2 on Earth 400ppm Average Temperature 15 C annual solar irradiance 1000 W/m2 CO2 on Venus 30,000ppm Average Temperature 465 C annual solar",2024-05-23T02:11:49.000Z,1.0,1.0,4.0,236.0,en
Yep,2024-05-22T13:52:11.000Z,,,1.0,388.0,en
The doctor is right.,2024-05-22T18:37:11.000Z,,,1.0,157.0,en
"It appears the Sun is the main driver of temperature. CO2 on Mars 950,000ppm Average Temperature -53 C annual solar irradiance 590 W/m2 CO2 on Earth 400ppm Average Temperature 15 C annual solar irradiance 1000 W/m2 CO2 on Venus 30,000ppm Average Temperature 465 C annual solar",2024-05-23T02:11:49.000Z,1.0,4.0,236.0,1.0,en
Yep,2024-05-22T13:52:11.000Z,,,1.0,388.0,en
The doctor is right.,2024-05-22T18:37:11.000Z,,,1.0,157.0,en
@Ofcom in relation to the ITN and SKYNEWS nonsense.,2024-05-22T12:15:03.000Z,,,1.0,422.0,en
globalcooling/globalwarming/climatechange is a hoax..,2024-05-22T14:39:58.000Z,,3.0,5.0,291.0,en
"I believe it is Chinese propaganda, akin to what Russia's stance on fracking was.",2024-05-23T18:53:28.000Z,,,,58.0,en
"The Vacuity of Climate Scienceby The Vacuity of Climate Science by @DaleCloudyman @DaleCloudyman @DaleCloudyman , published by , published by @CAmericain_mag @CAmericain_mag @CAmericain_mag “The era of global boiling has arrived”, stated Antonio Guterres at a July press conference last year. This proclamation by the Secretary-General of the United Nations was representative of the marked “The era of global boiling has arrived”, stated Antonio Guterres at a July press conference last year. This proclamation by the Secretary-General of the United Nations was representative of the marked",2024-05-23T05:15:59.000Z,,,1.0,123.0,en
And what are the real world results of their fabrication? Did people suffer and die because of it?,2024-05-22T21:52:16.000Z,2.0,,,131.0,en
This man is a long discredited liar who Greenpeace call out and highlight his paid position by polluting industries.,2024-05-22T09:50:30.000Z,3.0,1.0,4.0,473.0,en
Without a doubt.  Future history will show this to be true. EVs are one of the least impactful initiatives on CO2 levels but receive a hideous amount of public funds.,2024-05-24T01:08:04.000Z,1.0,,1.0,18.0,en
Yes but Dr Patrick Moore is still a fraud. How can people forget the roundup video of him.,2024-05-22T08:12:55.000Z,1.0,,8.0,505.0,en
"And regenerative agriculture solves soil erosion, which is what everyone is missing from the CO2 problem. Why can't we multi task? I thought we were trying to be good consumers, what is regenerative agriculture?",2024-05-22T19:14:10.000Z,,,,48.0,en
"Quoting attention-seekers espousing ridiculous pseudoscience ideology and wrongly claiming themselves to be ""Greenpeace (co)-founders"" seems to be its whole own genre with you people. How many does this make? There must be hundreds by now!",2024-05-22T11:56:20.000Z,,,,22.0,en
The present shows it.,2024-05-23T01:14:18.000Z,,,,15.0,en
"And people get to see this in the background.That's water vapour, NOT CO2!",2024-05-23T13:43:03.000Z,,,2.0,17.0,en
"The point of a Green House, is to HELP plants grow Properly... So how is that a bad thing?",2024-05-23T00:01:53.000Z,,,,14.0,en
"heard the same from my good friend who does plant botanist. Thanks for speaking out DR Patrick. Never the less the start of the new economy was created "" green industrial revolution""",2024-05-22T12:50:18.000Z,,,,81.0,en
"Indeed, @EcoSenseNow and I believe it makes absolutely no sense trying to demonstrate alleged climate change attributed to anthropogenic CO2 (by an unverified model), by using daily weather variability of which little to no knowledge exists.",2024-05-22T09:18:49.000Z,,1.0,4.0,361.0,en
"Completely agree. CO2 is plant food. No plants, no human life. Simple.",2024-05-22T10:44:00.000Z,2.0,,4.0,206.0,en
"And regenerative agriculture solves soil erosion, which is what everyone is missing from the CO2 problem. Why can't we multi task? I thought we were trying to be good consumers, what is regenerative agriculture?",2024-05-22T19:14:10.000Z,,,,48.0,en
"Quoting attention-seekers espousing ridiculous pseudoscience ideology and wrongly claiming themselves to be ""Greenpeace (co)-founders"" seems to be its whole own genre with you people. How many does this make? There must be hundreds by now!",2024-05-22T11:56:20.000Z,,,,22.0,en
The present shows it.,2024-05-23T01:14:18.000Z,,,,15.0,en
"And people get to see this in the background.That's water vapour, NOT CO2!",2024-05-23T13:43:03.000Z,,,2.0,17.0,en
"The point of a Green House, is to HELP plants grow Properly... So how is that a bad thing?",2024-05-23T00:01:53.000Z,,,,14.0,en
"heard the same from my good friend who does plant botanist. Thanks for speaking out DR Patrick. Never the less the start of the new economy was created "" green industrial revolution""",2024-05-22T12:50:18.000Z,,,,81.0,en
"Indeed, @EcoSenseNow and I believe it makes absolutely no sense trying to demonstrate alleged climate change attributed to anthropogenic CO2 (by an unverified model), by using daily weather variability of which little to no knowledge exists.",2024-05-22T09:18:49.000Z,,1.0,4.0,361.0,en
"Completely agree. CO2 is plant food. No plants, no human life. Simple.",2024-05-22T10:44:00.000Z,2.0,,4.0,206.0,en
Noooo,2024-05-22T13:14:29.000Z,,,,61.0,en
"So follow me on this: Climate Change hysteria is based upon human activities adding CO2 and other gasses to the atmosphere. Which they say, will cause the earth to warm and then kill us all. So what is the perfect balance of gasses in the atmosphere?",2024-05-22T16:44:03.000Z,1.0,,1.0,35.0,en
Completely agree....it's a hoax complete fraud....it's all about control over our lives,2024-05-22T18:50:34.000Z,,,,10.0,en
If it were real - we would be embracing nuclear power.  The fact they won't replace coal plants with nuclear plants is the red flag indicating the Climate Change movement is about control NOT energy.,2024-05-22T22:05:22.000Z,,,,23.0,en
What are his thoughts about methane?,2024-05-22T09:18:48.000Z,,,,219.0,en
Greenpeace founder no less…,2024-05-22T22:19:58.000Z,,,,19.0,en
"The west has ""DONATED""8 trillion or billion for south Africa to fight climate change by closing coal operating power stations.meanwhile we struggling with efficient power for our economy, meanwhile the EU was buying our coal secretly",2024-05-22T21:03:23.000Z,,,,25.0,en
"What’s the impact of war on climate change, they don’t check? Because less war means less control, so instead they focus on your food supply, your water, your electric, movement = more control!",2024-05-23T03:35:13.000Z,,,,10.0,en
"Interesting, considering who this man is.",2024-05-23T00:38:01.000Z,,,,16.0,en
Completely agree....it's a hoax complete fraud....it's all about control over our lives,2024-05-22T18:50:34.000Z,,,,10.0,en
If it were real - we would be embracing nuclear power.  The fact they won't replace coal plants with nuclear plants is the red flag indicating the Climate Change movement is about control NOT energy.,2024-05-22T22:05:22.000Z,,,,23.0,en
What are his thoughts about methane?,2024-05-22T09:18:48.000Z,,,,219.0,en
Greenpeace founder no less…,2024-05-22T22:19:58.000Z,,,,19.0,en
"The west has ""DONATED""8 trillion or billion for south Africa to fight climate change by closing coal operating power stations.meanwhile we struggling with efficient power for our economy, meanwhile the EU was buying our coal secretly",2024-05-22T21:03:23.000Z,,,,25.0,en
"What’s the impact of war on climate change, they don’t check? Because less war means less control, so instead they focus on your food supply, your water, your electric, movement = more control!",2024-05-23T03:35:13.000Z,,,,10.0,en
"Interesting, considering who this man is.",2024-05-23T00:38:01.000Z,,,,16.0,en
Is he kidding????? Look around buddy,2024-05-23T22:26:37.000Z,1.0,,,33.0,en
He knows.,2024-05-23T20:35:48.000Z,,,,8.0,en
"Hear, hear!  I've been saying the same thing for a decade or so, but without the voice of Dr. Moore.",2024-05-23T01:00:18.000Z,,,,35.0,en
"Yes, this à fairytale. The Earth can easily support 20 billions people. Just need à good management and no politiciens. And people will eat à réal meat if they wish.",2024-05-22T15:27:02.000Z,,,,62.0,en
Must read: Confessions of a Greenpeace Dropout,2024-05-25T12:17:42.000Z,,,,10.0,en
Same object as the Covid hysteria.,2024-05-23T01:15:40.000Z,,1.0,1.0,39.0,en
Isn’t this the dude that refused to drink Monsanto round up pesticide after claiming it was healthy and anyone could chug a glass of it and remain unharmed?,2024-05-22T13:17:25.000Z,,,3.0,89.0,en
Thank you,2024-05-22T15:57:42.000Z,,,,50.0,en
